userId,user,book_name,book_rating,book_num_pages,book_publish_date
0,Geralda,Boys of Summer,3.77,249,2006-6-27
0,Geralda,The Air-Conditioned Nightmare,3.83,292,1970-1-17
0,Geralda,Interface,3.68,640,2005-5-31
0,Geralda,Memoirs of a Geisha: A Portrait of the Film,4.08,144,2005-10-20
0,Geralda,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,4.16,450,2005-6-1
0,Geralda,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,3.78,542,2001-2-1
0,Geralda,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,4.46,192,2003-9-1
0,Geralda,Memoirs of a Geisha,4.11,497,1998-6-4
0,Geralda,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,4.07,425,2004-9-2
0,Geralda,Running Dog,3.43,256,1989-7-17
0,Geralda,Everyday Pasta,4.09,240,2007-4-3
0,Geralda,Collapse of Complex Societies,4.15,262,1990-3-29
0,Geralda,eBay Business All-in-One Desk Reference for Dummies,3.89,864,2005-4-25
0,Geralda,Gates of Fire,4.42,392,2005-9-27
0,Geralda,The Kingdom of God Is Within You,4.13,352,2006-9-8
0,Geralda,Prometheus Bound and Other Plays,4.10,160,1961-8-30
0,Geralda,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,3.88,287,2006-4-4
1,Phedra,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,4.50,1122,2006-10-17
1,Phedra,Collected Stories,4.19,352,2008-5-13
1,Phedra,Trump: The Art of the Deal,3.66,384,2004-12-28
1,Phedra,The Wedding Clause,3.60,256,2005-6-7
1,Phedra,Notes from a Small Island,3.91,324,1997-5-28
1,Phedra,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),4.57,192,2006-7-18
1,Phedra,The Oedipus Cycle: Oedipus Rex  Oedipus at Colonus  Antigone,3.97,259,2002-11-1
1,Phedra,Lovely in Her Bones (Elizabeth MacPherson  #2),3.80,224,1990-5-13
1,Phedra,The Fifth Mountain,3.62,256,2000-4-26
1,Phedra,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,3.88,287,2006-4-4
2,Dodi,The Gate of Fire (Oath Of Empire Book Two),3.58,721,2001-6-18
2,Dodi,ebay Timesaving Techniques for Dummies,3.39,391,2004-5-31
2,Dodi,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,3.68,108,1997-1-28
2,Dodi,Blood Stripes: The Grunt's View of the War in Iraq,3.91,340,2006-4-24
2,Dodi,I am Charlotte Simmons,3.42,738,2005-8-30
2,Dodi,Angels & Demons (Robert Langdon  #1),3.89,736,2006-4-1
2,Dodi,Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta,3.97,250,2006-8-1
3,Robenia,The Histories,3.99,816,1997-3-25
3,Robenia,The Known World,3.83,388,2006-8-29
3,Robenia,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,3.78,542,2001-2-1
3,Robenia,The Oresteia,4.02,208,2004-9-4
3,Robenia,Rising from the Plains,4.23,208,1987-11-1
3,Robenia,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,3.62,260,2006-1-24
3,Robenia,Quicksilver (The Baroque Cycle  #1),3.93,927,2004-9-21
3,Robenia,The 48 Laws of Power,4.18,452,2000-9-1
